TagUrn,Ending,Tag
urn:cite:ns:tag.1,urn:cite:ns:morphend.end_1a,standard
urn:cite:ns:tag.2,urn:cite:ns:morphend.end_1b,standard
urn:cite:ns:tag.3,urn:cite:ns:morphend.end_1c,standard
urn:cite:ns:tag.4,urn:cite:ns:morphend.end_2,standard
urn:cite:ns:tag.5,urn:cite:ns:morphend.end_2epic,epic
urn:cite:ns:tag.6,urn:cite:ns:morphend.end_3,standard
urn:cite:ns:tag.7,urn:cite:ns:morphend.end_4,standard
urn:cite:ns:tag.8,urn:cite:ns:morphend.end_5a,standard
urn:cite:ns:tag.9,urn:cite:ns:morphend.end_5b,standard
urn:cite:ns:tag.10,urn:cite:ns:morphend.end_5c,standard
urn:cite:ns:tag.11,urn:cite:ns:morphend.6,standard
urn:cite:ns:tag.12,urn:cite:ns:morphend.7,standard
urn:cite:ns:tag.13,urn:cite:ns:morphend.7epic,epic
urn:cite:ns:tag.14,urn:cite:ns:morphend.8,standard
urn:cite:ns:tag.15,urn:cite:ns:morphend.8epic,epic
urn:cite:ns:tag.16,urn:cite:ns:morphend.9,standard
urn:cite:ns:tag.17,urn:cite:ns:morphend.10,standard
urn:cite:ns:tag.18,urn:cite:ns:morphend.end_11a,standard
urn:cite:ns:tag.19,urn:cite:ns:morphend.end_11b,standard
urn:cite:ns:tag.20,urn:cite:ns:morphend.end_11c,standard
urn:cite:ns:tag.21,urn:cite:ns:morphend.end_12,standard
urn:cite:ns:tag.22,urn:cite:ns:morphend.end_13,standard
urn:cite:ns:tag.23,urn:cite:ns:morphend.end_13epic,epic
urn:cite:ns:tag.24,urn:cite:ns:morphend.end_14a,standard
urn:cite:ns:tag.25,urn:cite:ns:morphend.end_14b,standard
urn:cite:ns:tag.26,urn:cite:ns:morphend.end_14c,standard
urn:cite:ns:tag.27,urn:cite:ns:morphend.end_15a,standard
urn:cite:ns:tag.28,urn:cite:ns:morphend.end_15b,standard
urn:cite:ns:tag.29,urn:cite:ns:morphend.end_15c,standard
