RuleUrn,InflectionClasses,Ending,Gender,Case,Number
nouninfl.as_ou1,as_ou,a_s,masc,nom,sg
nouninfl.as_ou2,as_ou,ou,masc,gen,sg
nouninfl.as_ou3,as_ou,a_|,masc,dat,sg
nouninfl.as_ou4,as_ou,an,masc,acc,sg
nouninfl.as_ou5,as_ou,a_,masc,voc,sg

nouninfl.as_ou6,as_ou,ai,masc,nom,pl
nouninfl.as_ou7,as_ou,wn,masc,gen,pl
nouninfl.as_ou8,as_ou,ais,masc,dat,pl
nouninfl.as_ou9,as_ou,a_s,masc,acc,pl
nouninfl.as_ou10,as_ou,ai,masc,voc,pl

nouninfl.as_ou11,as_ou,a_,masc,nom,dual
nouninfl.as_ou12,as_ou,ain,masc,gen,dual
nouninfl.as_ou13,as_ou,ain,masc,dat,dual
nouninfl.as_ou14,as_ou,a_,masc,acc,dual
nouninfl.as_ou15,as_ou,a_,masc,voc,dual


nouninfl.hs_ou1,hs_ou,hs,masc,nom,sg
nouninfl.hs_ou2,hs_ou,ou,masc,gen,sg
nouninfl.hs_ou3,hs_ou,h|,masc,dat,sg
nouninfl.hs_ou4,hs_ou,hn,masc,acc,sg
nouninfl.hs_ou5,hs_ou,h,masc,voc,sg

nouninfl.hs_ou6,hs_ou,ai,masc,nom,pl
nouninfl.hs_ou7,hs_ou,wn,masc,gen,pl
nouninfl.hs_ou8,hs_ou,ais,masc,dat,pl
nouninfl.hs_ou9,hs_ou,a_s,masc,acc,pl
nouninfl.hs_ou10,hs_ou,ai,masc,voc,pl

nouninfl.hs_ou11,hs_ou,a_,masc,nom,dual
nouninfl.hs_ou12,hs_ou,ain,masc,gen,dual
nouninfl.hs_ou13,hs_ou,ain,masc,dat,dual
nouninfl.hs_ou14,hs_ou,a_,masc,acc,dual
nouninfl.hs_ou15,hs_ou,a_,masc,voc,dual








nouninfl.a_hs1,a_hs,a^,fem,nom,sg
nouninfl.a_hs2,a_hs,hs,fem,gen,sg
nouninfl.a_hs3,a_hs,h|,fem,dat,sg
nouninfl.a_hs4,a_hs,a^n,fem,acc,sg
nouninfl.a_hs5,a_hs,a^,fem,voc,sg

nouninfl.a_hs6,a_hs,ai,fem,nom,pl
nouninfl.a_hs7,a_hs,wn,fem,gen,pl
nouninfl.a_hs8,a_hs,ais,fem,dat,pl
nouninfl.a_hs9,a_hs,a_s,fem,acc,pl
nouninfl.a_hs10,a_hs,ai,fem,voc,pl

nouninfl.a_hs11,a_hs,a_,fem,nom,dual
nouninfl.a_hs12,a_hs,ain,fem,gen,dual
nouninfl.a_hs13,a_hs,ain,fem,dat,dual
nouninfl.a_hs14,a_hs,a_,fem,acc,dual
nouninfl.a_hs15,a_hs,a_,fem,voc,dual

nouninfl.a_as_long1,a_as_long,a_,fem,nom,sg
nouninfl.a_as_long2,a_as_long,a_s,fem,gen,sg
nouninfl.a_as_long3,a_as_long,a_|,fem,dat,sg
nouninfl.a_as_long4,a_as_long,a_n,fem,acc,sg
nouninfl.a_as_long5,a_as_long,a_,fem,voc,sg

nouninfl.a_as_long6,a_as_long,ai,fem,nom,pl
nouninfl.a_as_long7,a_as_long,wn,fem,gen,pl
nouninfl.a_as_long8,a_as_long,ais,fem,dat,pl
nouninfl.a_as_long9,a_as_long,a_s,fem,acc,pl
nouninfl.a_as_long10,a_as_long,ai,fem,voc,pl

nouninfl.a_as_long11,a_as_long,a_,fem,nom,dual
nouninfl.a_as_long12,a_as_long,ain,fem,gen,dual
nouninfl.a_as_long13,a_as_long,ain,fem,dat,dual
nouninfl.a_as_long14,a_as_long,a_,fem,acc,dual
nouninfl.a_as_long15,a_as_long,a_,fem,voc,dual


nouninfl.a_as_short1,a_as_short,a^,fem,nom,sg
nouninfl.a_as_short2,a_as_short,a_s,fem,gen,sg
nouninfl.a_as_short3,a_as_short,a_|,fem,dat,sg
nouninfl.a_as_short4,a_as_short,a^n,fem,acc,sg
nouninfl.a_as_short5,a_as_short,a^,fem,voc,sg

nouninfl.a_as_short6,a_as_short,ai,fem,nom,pl
nouninfl.a_as_short7,a_as_short,wn,fem,gen,pl
nouninfl.a_as_short8,a_as_short,ais,fem,dat,pl
nouninfl.a_as_short9,a_as_short,a_s,fem,acc,pl
nouninfl.a_as_short10,a_as_short,ai,fem,voc,pl

nouninfl.a_as_short11,a_as_short,a_,fem,nom,dual
nouninfl.a_as_short12,a_as_short,ain,fem,gen,dual
nouninfl.a_as_short13,a_as_short,ain,fem,dat,dual
nouninfl.a_as_short14,a_as_short,a_,fem,acc,dual
nouninfl.a_as_short15,a_as_short,a_,fem,voc,dual

nouninfl.h_hs1,h_hs,h,fem,nom,sg
nouninfl.h_hs2,h_hs,hs,fem,gen,sg
nouninfl.h_hs3,h_hs,h|,fem,dat,sg
nouninfl.h_hs4,h_hs,hn,fem,acc,sg
nouninfl.h_hs5,h_hs,h,fem,voc,sg

nouninfl.h_hs6,h_hs,ai,fem,nom,pl
nouninfl.h_hs7,h_hs,wn,fem,gen,pl
nouninfl.h_hs8,h_hs,ais,fem,dat,pl
nouninfl.h_hs9,h_hs,a_s,fem,acc,pl
nouninfl.h_hs10,h_hs,ai,fem,voc,pl

nouninfl.h_hs11,h_hs,a_,fem,nom,dual
nouninfl.h_hs12,h_hs,ain,fem,gen,dual
nouninfl.h_hs13,h_hs,ain,fem,dat,dual
nouninfl.h_hs14,h_hs,a_,fem,acc,dual
nouninfl.h_hs15,h_hs,a_,fem,voc,dual
