RuleUrn,InflectionClasses,Ending,Gender,Case,Number,Degree
adjinfl.os_a_on1,os_a_on,os,masc,nom,sg,pos
adjinfl.os_a_on2,os_a_on,ou,masc,gen,sg,pos
adjinfl.os_a_on3,os_a_on,w|,masc,dat,sg,pos
adjinfl.os_a_on4,os_a_on,on,masc,acc,sg,pos
adjinfl.os_a_on5,os_a_on,e,masc,voc,sg,pos

adjinfl.os_a_on6,os_a_on,w,masc,nom,dual,pos
adjinfl.os_a_on7,os_a_on,oin,masc,gen,dual,pos
adjinfl.os_a_on8,os_a_on,oin,masc,dat,dual,pos
adjinfl.os_a_on9,os_a_on,w,masc,acc,dual,pos
adjinfl.os_a_on10,os_a_on,w,masc,voc,dual,pos

adjinfl.os_a_on11,os_a_on,oi,masc,nom,pl,pos
adjinfl.os_a_on12,os_a_on,wn,masc,gen,pl,pos
adjinfl.os_a_on13,os_a_on,ois,masc,dat,pl,pos
adjinfl.os_a_on14,os_a_on,ous,masc,acc,pl,pos
adjinfl.os_a_on15,os_a_on,oi,masc,voc,pl,pos






adjinfl.os_a_on16,os_a_on,a_,fem,nom,sg,pos
adjinfl.os_a_on17,os_a_on,a_s,fem,gen,sg,pos
adjinfl.os_a_on18,os_a_on,a_|,fem,dat,sg,pos
adjinfl.os_a_on19,os_a_on,a_n,fem,acc,sg,pos
adjinfl.os_a_on20,os_a_on,a_,fem,voc,sg,pos

adjinfl.os_a_on21,os_a_on,a_,fem,nom,dual,pos
adjinfl.os_a_on22,os_a_on,ain,fem,gen,dual,pos
adjinfl.os_a_on23,os_a_on,ain,fem,dat,dual,pos
adjinfl.os_a_on24,os_a_on,a_,fem,acc,dual,pos
adjinfl.os_a_on25,os_a_on,a_,fem,voc,dual,pos

adjinfl.os_a_on26,os_a_on,ai,fem,nom,pl,pos
adjinfl.os_a_on27,os_a_on,wn,fem,gen,pl,pos
adjinfl.os_a_on28,os_a_on,ais,fem,dat,pl,pos
adjinfl.os_a_on29,os_a_on,a_s,fem,acc,pl,pos
adjinfl.os_a_on30,os_a_on,ai,fem,voc,pl,pos





adjinfl.os_a_on31,os_a_on,on,neut,nom,sg,pos
adjinfl.os_a_on32,os_a_on,ou,neut,gen,sg,pos
adjinfl.os_a_on33,os_a_on,w|,neut,dat,sg,pos
adjinfl.os_a_on34,os_a_on,on,neut,acc,sg,pos
adjinfl.os_a_on35,os_a_on,on,neut,voc,sg,pos

adjinfl.os_a_on36,os_a_on,w,neut,nom,dual,pos
adjinfl.os_a_on37,os_a_on,oin,neut,gen,dual,pos
adjinfl.os_a_on38,os_a_on,oin,neut,dat,dual,pos
adjinfl.os_a_on39,os_a_on,w,neut,acc,dual,pos
adjinfl.os_a_on40,os_a_on,w,neut,voc,dual,pos

adjinfl.os_a_on41,os_a_on,a,neut,nom,pl,pos
adjinfl.os_a_on42,os_a_on,wn,neut,gen,pl,pos
adjinfl.os_a_on43,os_a_on,ois,neut,dat,pl,pos
adjinfl.os_a_on44,os_a_on,a,neut,acc,pl,pos
adjinfl.os_a_on45,os_a_on,a,neut,voc,pl,pos
