StemUrn,LexicalEntity,Stem,InflClass
lysias1.n9778_0,lexent.n9778,a)nti/,prepos
lysias1.n24517_0,lexent.n24517,dia/,prepos
lysias1.n31235_0,lexent.n31235,ei)s,prepos
lysias1.n34700_0,lexent.n34700,e)n,prepos
lysias1.n31575_0,lexent.n31575,e)k,prepos
lysias1.n31575_1,lexent.n31575,e)c,prepos
lysias1.n38862_0,lexent.n38862,e)pi/,prepos
lysias1.n53647_0,lexent.n53647,kata/,prepos
lysias1.n66572_0,lexent.n66572,meta/,prepos
lysias1.n77763_0,lexent.n77763,para/,prepos
lysias1.n81017_0,lexent.n81017,peri/,prepos
lysias1.n83818_0,lexent.n83818,plh/n,prepos
lysias1.n108092_0,lexent.n108092,u(po/,prepos
