LexicalEntity,Lemma,ShortDef
urn:cite:perseus:lexentity.lex16682.1,γνώμη,"means of knowing"
urn:cite:perseus:lexentity.lex17565.1,δίκη,"justice"
urn:cite:perseus:lexentity.lex95031.1,ἀρετή,"goodness, virtue"
urn:cite:perseus:lexentity.lex46107.1,μοῖρα,"part, share, fate"
urn:cite:perseus:lexentity.lex82066.1,χώρα,"space, land"
urn:cite:perseus:lexentity.lex27206.1,θάλασσα,"sea"
urn:cite:perseus:lexentity.lex57461.1,πολίτης,"citizen"
urn:cite:perseus:lexentity.lex47334.1,νεανίης,"a young man"
urn:cite:perseus:lexentity.lex41535.1,λόγος,"word, reason, ratio"
urn:cite:perseus:lexentity.lex120856.1,ὁδός,"way, road"
urn:cite:perseus:lexentity.lex57041.1,πλοῦτος,"wealth, riches"
urn:cite:perseus:lexentity.lex98847.1,ἄνθρωπος,"human being"
urn:cite:perseus:lexentity.lex113763.1,ἔργον,"work"
urn:cite:perseus:lexentity.lex23689.1,δῶρον,"gift"
urn:cite:perseus:lexentity.lex35425.1,κλώψ,"thief"
urn:cite:perseus:lexentity.lex38597.1,κύλιξ,"cup"
urn:cite:perseus:lexentity.lex104176.1,ἐλπίς,"hope"
urn:cite:perseus:lexentity.lex121869.1,ὄρνις,"bird"
urn:cite:perseus:lexentity.lex17751.1,δαίμων,"god, daemon"
urn:cite:perseus:lexentity.lex99233.1,ἄρχων,"ruler"
urn:cite:perseus:lexentity.lex121819.1,ὄνομα,"name"
urn:cite:perseus:lexentity.lex13726.1,βασιλεύς,"king"
urn:cite:perseus:lexentity.lex64026.1,πόλις,"city"
urn:cite:perseus:lexentity.lex99351.1,ἄστυ,"town"
urn:cite:perseus:lexentity.lex15587.1,γένος,"race"
urn:cite:perseus:lexentity.lex53568.1,πατήρ,"father"
urn:cite:perseus:lexentity.lex87734.1,ἀνήρ,"a man"
urn:cite:perseus:lexentity.lex17115.1,γυνή,"woman"


urn:cite:perseus:lexentity.lex30879.1,καλός,"beautiful"
urn:cite:perseus:lexentity.lex17554.1,δίκαιος,"observant of custom or rule; meet and right"
urn:cite:perseus:lexentity.lex84467.1,ἀθάνατος,"undying, immortal"
urn:cite:perseus:lexentity.lex25780.1,εὐρύς,"wide"


urn:cite:perseus:lexentity.lex41619.1,λύω,"loosen"
urn:cite:perseus:lexentity.lex48061.1,νικάω,"conquer"
urn:cite:perseus:lexentity.lex77620.1,φιλέω,"love"
urn:cite:perseus:lexentity.lex18687.1,δηλόω,"make visible or manifest"
urn:cite:perseus:lexentity.lex117810.1,ἵστημι,"make to stand"
urn:cite:perseus:lexentity.lex73002.1,τίθημι,"set, place"
urn:cite:perseus:lexentity.lex17525.1,δίδωμι,"give freely"
urn:cite:perseus:lexentity.lex23940.1,εἰμί,"to be"
