StemUrn,LexicalEntity,Lemma,Stem,StemClass,Application
urn:cite:ns:morphstem.stem1,urn:cite:perseus:lexentity.lex17565.1,di/kh,di^k,urn:cite:ns:stemtype.h_hs,:::::feminine:::noun
urn:cite:ns:morphstem.decl2_1,urn:cite:perseus:lexentity.lex41535.1,lo/gos,log,urn:cite:ns:stemtype.os_ou,:::::masculine:::noun
urn:cite:ns:morphstem.decl2_2,urn:cite:perseus:lexentity.lex49558.1,oi)wno/s,oi)wn,urn:cite:ns:stemptype.os_ou_ult,:::::masculine::::noun
urn:cite:ns:morphstem.o_1_pp1,urn:cite:perseus:lexentity.lex113895.1,e)/xw,e)/x,urn:cite:ns:stemtype.princpt1,::present::::::verb
urn:cite:ns:morphstem.o_1_pp2_a,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxhs,urn:cite:ns:stemtype.princpt2,::future::active::::verb
urn:cite:ns:morphstem.o_1_pp2_a2,urn:cite:perseus:lexentity.lex113895.1,e)/xw,e(c,urn:cite:ns:stemtype.princpt2,::future::active::::verb
urn:cite:ns:morphstem.o_1_pp2_m,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxhs,urn:cite:ns:stemtype.princpt2,::middle::active::::verb
urn:cite:ns:morphstem.o_1_pp2_m2,urn:cite:perseus:lexentity.lex113895.1,e)/xw,e(c,urn:cite:ns:stemtype.princpt2,::middle::active::::verb
urn:cite:ns:morphstem.o_1_aor2_a,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sx,urn:cite:ns:stemtype.aor2,::aorist::middle::::verb
urn:cite:ns:morphstem.o_1_aor2_m,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sx,urn:cite:ns:stemtype.aor2,::aorist::active::::verb
urn:cite:ns:morphstem.o_1_pp6_p,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxeq,urn:cite:ns:stemtype.princpt6,::aorist::passive::::verb
urn:cite:ns:morphstem.o_1_pp6_f,urn:cite:perseus:lexentity.lex113895.1,e)/xw,sxeq,urn:cite:ns:stemtype.princpt6,::future::passive::::verb
